ProjectID,AuthorizationCategory,AuthorizationType,ApplicationType,eFactsAuthID,PermitNumber,Submitted,Status
10000003,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000003,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000003,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000004,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit ,Transfer,1365919,PAD540025,1/20/26,Issued
10000004,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Minor Amendment,,PAD540025 A-1,3/19/26,Pending
10000004,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Major Amendment,,PAD540025 A-2,5/5/26,Pending
10000004,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,Transfer,1550954,E5402222-001,11/26/25,Issued
10000004,WRM Water Obstructions & Encroachments,GP-05 Utility Line Stream Crossings,Transfer,,GP05540221-006,11/26/25,Issued
10000004,WRM Water Obstructions & Encroachments,BWM-GP-11 Maintenance /Testing / Repair / Rehabilitation / Replacement General Pmt,Transfer,1550957,GP115402221-011,11/26/25,Issued
10000004,WPC State Water Pollution Control,WQM Sewer Extensions,,,5422403,,Not Yet Submitted
10000004,WPC Act 537 Municipal Sewage Planning,New Land Development Plan App Component 3-Commercial,,,,,Not Yet Submitted
10000004,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000004,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000005,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1575507,PAD350071,4/2/26,Pending
10000005,WPC Act 537 Municipal Sewage Planning,Act 537 Sewage Planning,,,2-35804048-3,3/2/26,Returned
10000005,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000005,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000005,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000005,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000006,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,New,1556659,E3902226-002,1/28/26,Pending
10000006,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1578878,PAD390390,8/4/26,Pending
10000006,Air Quality,Minor Facility Plan Approval New Source Performance Std,New,1574924,39-00117A,6/12/26,Pending
10000006,Environmental Cleanup & Brownfields,Notice of Intent to Remediate (Act 2),,,,3/11/26,Received
10000006,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000006,WPC Act 537 Municipal Sewage Planning,Act 537 Sewage Planning,,,,,Not Yet Submitted
10000007,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1567677,PAD130057,2/25/26,Pending
10000007,WPC Act 537 Municipal Sewage Planning,New Land Development Plan App Component 3-Commercial,New,1575562,2-13917022-3,7/3/26,Pending
10000007,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,New,1562782,E1302226-001,3/13/26,Pending
10000007,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000007,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000008,Air Quality,Minor Facility Plan Approval New Source Performance Std,New,1578397,40-00162A,7/29/26,Pending
10000008,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1560309,PAD400116,2/17/26,Pending
10000008,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1560602,PAD400114,12/8/25,Pending
10000008,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,New,1570648,E4002226-011,5/22/26,Pending
10000008,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Major Amendment,,,,Not Yet Submitted
10000008,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Major Amendment,,,,Not Yet Submitted
10000008,Storage Tanks,Site Specific Installation Permit,,,,,Not Yet Submitted
10000008,Storage Tanks,Site Specific Installation Permit,,,,,Not Yet Submitted
10000008,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,,,,,Not Yet Submitted
10000008,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,,,,,Not Yet Submitted
10000008,Storage Tanks,Site Specific Installation Permit,,,,,Not Yet Submitted
10000008,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,,,,,Not Yet Submitted
10000008,Storage Tanks,Site Specific Installation Permit,,,,,Not Yet Submitted
10000008,WPC Act 537 Municipal Sewage Planning,Act 537 Sewage Planning,,,,,Not Yet Submitted
10000008,U.S. Fish & Wildlife Service,General Conservation Plan,,,,,Pending
10000009,Air Quality,Minor Facility Plan Approval New Source Performance Std,New,1526061,09-0261,5/5/25,Issued
10000009,Air Quality,Minor Facility Plan Approval New Source Performance Std,Modification,1541156,09-0261,9/9/25,Issued
10000009,Air Quality,Minor Facility Plan Approval New Source Performance Std,New,1565874,09-0261A,4/13/26,Pending
10000009,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Major Amendment,1526945,PAD090088 A-3,5/8/25,Issued
10000009,WPC Act 537 Municipal Sewage Planning,Planning Mailer Application/Exemption Request,New,1547955,1-09002-314-E,10/29/25,Issued
10000009,Storage Tanks,Site Specific Installation Permit,New,1532915,25001,7/2/25,Issued
10000010,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),,,PAC150395,11/1/24,Issued
10000010,WPC Act 537 Municipal Sewage Planning,Act 537 Waiver,,,1-15925-426-E,3/25/25,Issued
10000010,Air Quality,AQ GP 9 - Diesel or No.2 Fuel-Fired IC Engines,,,,,Not Yet Submitted
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Transfer,,PAC210079 A-1,8/9/25,Issued
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Minor Amendment,,PAC210079 A-2,8/28/25,Issued
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Major Amendment,,PAC210079 A-3,11/4/25,Issued
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Major Amendment,,PAC210079 A-4,12/9/25,Pending
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Major Amendment,,PAC210079 A-5,7/13/26,Pending
10000011,WRM Water Obstructions & Encroachments,GP-05 Utility Line Stream Crossings,New,1559045,GP052103226-001,1/30/25,Issued
10000011,WRM Water Obstructions & Encroachments,GP-05 Utility Line Stream Crossings,New,1541734,GP052103226-002,9/12/25,Issued
10000011,WRM Water Obstructions & Encroachments,GP-05 Utility Line Stream Crossings,New,1545918,GP052103225-003,10/17/25,Issued
